property_id,property_title,rating,review,description
1,Eamia,60,"Excision of Right Elbow Bursa and Ligament, Percutaneous Approach, Diagnostic","Injury of cauda equina, initial encounter"
2,Dabfeed,99,Plaque Radiation of Leg Skin,Other fracture of upper end of radius
3,Yombu,94,"Dilation of Celiac Artery, Percutaneous Approach","Pressure ulcer of unspecified elbow, unstageable"
4,Innotype,89,"Revision of Synthetic Substitute in Face, Open Approach",Nocardiosis
5,Youbridge,56,"Removal of Drainage Device from Right Sacroiliac Joint, Open Approach","Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
6,Rhybox,57,"Bypass Left Femoral Artery to Posterior Tibial Artery, Percutaneous Endoscopic Approach","Other fracture of left ilium, subsequent encounter for fracture with delayed healing"
7,Teklist,15,"Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach","Dislocation of T7/T8 thoracic vertebra, subsequent encounter"
8,Twitterworks,40,"Extirpation of Matter from Ascending Colon, Via Natural or Artificial Opening Endoscopic","Open bite of left ear, sequela"
9,Topiczoom,85,"Release Trochlear Nerve, Percutaneous Approach","Displaced fracture of lower epiphysis (separation) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
10,Babbleblab,23,"Revision of Drainage Device in Lower Back, Percutaneous Endoscopic Approach",Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
11,Thoughtmix,56,"Revision of Internal Fixation Device in Left Tarsal, Percutaneous Endoscopic Approach","Other intraarticular fracture of lower end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
12,Dynabox,83,"Bypass Left External Iliac Artery to Left External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Toxic effect of unspecified substance, intentional self-harm, initial encounter"
13,Twinder,25,"Occlusion of Left Pulmonary Vein with Extraluminal Device, Percutaneous Endoscopic Approach","Displaced fracture of proximal phalanx of unspecified great toe, subsequent encounter for fracture with delayed healing"
14,Trupe,79,"Excision of Right Epididymis, Percutaneous Approach, Diagnostic","Systemic lupus erythematosus, organ or system involvement unspecified"
15,Feedfire,13,"Dilation of Intracranial Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident
16,Oodoo,2,"Fusion of Right Knee Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Retinopathy of prematurity, unspecified, unspecified eye"
17,Yodoo,90,"Drainage of Prostate with Drainage Device, Percutaneous Endoscopic Approach","Unspecified subluxation of unspecified wrist and hand, sequela"
18,Flashdog,32,"Insertion of Internal Fixation Device into Right Hip Joint, Percutaneous Approach","Laceration without foreign body, left lower leg, initial encounter"
19,Yozio,87,"Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Complete traumatic amputation of left great toe, initial encounter"
20,Eidel,56,"Removal of Autologous Tissue Substitute from Left Femoral Shaft, Percutaneous Approach","Displaced segmental fracture of shaft of ulna, left arm"
21,Flashspan,100,"Insertion of Infusion Device into Colic Vein, Open Approach","Osteochondritis dissecans, unspecified knee"
22,Edgewire,9,"Insertion of Intracardiac Pacemaker into Left Atrium, Percutaneous Approach",Laceration with foreign body of right elbow
23,Youbridge,66,"Release Head Lymphatic, Percutaneous Endoscopic Approach",Plasmodium vivax malaria without complication
24,Livefish,3,"Dilation of Upper Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach",Minor contusion of right kidney
25,Feedbug,83,"Destruction of Coccygeal Glomus, Open Approach","Burn of first degree of unspecified site of right lower limb, except ankle and foot, initial encounter"
26,Leexo,33,"Replacement of Left Upper Arm Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach",Congenital hypertrophic pyloric stenosis
27,Dynabox,65,"Replacement of Middle Colic Artery with Synthetic Substitute, Open Approach",Central cord syndrome at C4 level of cervical spinal cord
28,BlogXS,58,"Supplement Left Inguinal Lymphatic with Autologous Tissue Substitute, Open Approach","Other secondary scoliosis, cervical region"
29,Zoomzone,77,"Dilation of Ascending Colon with Intraluminal Device, Percutaneous Endoscopic Approach",Mydriasis
30,DabZ,94,"Heart and Great Vessels, Insertion","Triplet pregnancy with two or more monochorionic fetuses, unspecified trimester"
31,Devbug,76,Sensory Aids Assessment using Audiometer,"Insect bite (nonvenomous) of unspecified shoulder, sequela"
32,Jabbertype,18,"Supplement Right Common Iliac Vein with Nonautologous Tissue Substitute, Percutaneous Approach","Burn of unspecified degree of multiple sites of lower limb, except ankle and foot"
33,Skiba,76,"Control Bleeding in Left Knee Region, Percutaneous Approach",Ataxia following cerebral infarction
34,Jayo,30,"Insertion of Other Device into Left Pleural Cavity, Percutaneous Endoscopic Approach","Intentional self-harm by drowning and submersion while in swimming pool, sequela"
35,Wikido,89,"Fusion of Cervicothoracic Vertebral Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Open Approach",Arthropathy in hypersensitivity reactions classified elsewhere
36,Edgeify,54,"Insertion of Internal Fixation Device into Right Metatarsal-Phalangeal Joint, Percutaneous Approach","Strain of flexor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter"
37,Tagcat,39,"Restriction of Upper Esophagus, Percutaneous Approach",Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
38,Kamba,76,"Occlusion of Right Lesser Saphenous Vein with Intraluminal Device, Percutaneous Approach","Laceration with foreign body of left shoulder, initial encounter"
39,Yambee,51,"Drainage of Right Vocal Cord, Via Natural or Artificial Opening Endoscopic","Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
40,Innotype,95,"Bypass Right Axillary Artery to Left Upper Arm Artery, Open Approach","Pressure ulcer of left elbow, unstageable"
41,Feedspan,100,Magnetic Resonance Imaging (MRI) of Bilateral Salivary Glands using Other Contrast,"Term delivery with preterm labor, third trimester, fetus 3"
42,Jabbercube,73,"Dilation of Right Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach","Superficial foreign body of unspecified elbow, subsequent encounter"
43,Avamba,17,"Excision of Left Ankle Bursa and Ligament, Percutaneous Approach","Displaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with malunion"
44,Fiveclub,9,"Release Left Foot Bursa and Ligament, Open Approach","Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45,Fadeo,92,"Transfer Glossopharyngeal Nerve to Accessory Nerve, Open Approach","Maternal care for unstable lie, fetus 3"
46,Roodel,43,"Physical Rehabilitation and Diagnostic Audiology, Diagnostic Audiology, Hearing Assessment",Other injury of unspecified muscle and tendon at lower leg level
47,Quaxo,46,"Drainage of Right Thorax Tendon, Percutaneous Approach",Allergy to eggs
48,Aimbu,37,"Bypass Innominate Artery to Right Lower Leg Artery with Autologous Venous Tissue, Open Approach",Laceration with foreign body of unspecified great toe with damage to nail
49,Eimbee,11,"Drainage of Left Thumb Phalanx, Percutaneous Approach, Diagnostic","Poisoning by oral contraceptives, accidental (unintentional)"
50,Tagpad,59,"Bypass Esophageal Vein to Lower Vein with Autologous Arterial Tissue, Open Approach","Occupant of streetcar injured in collision with other object, sequela"
51,Katz,16,Plain Radiography of Other Upper Arteries using High Osmolar Contrast,"Sprain of left rotator cuff capsule, subsequent encounter"
52,Feedbug,8,"Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach","Blister (nonthermal), unspecified great toe"
53,Jabberbean,30,Computerized Tomography (CT Scan) of Right Tibia/Fibula using High Osmolar Contrast,"Sixth [abducent] nerve palsy, bilateral"
54,Jetpulse,58,"Revision of Autologous Tissue Substitute in Left Humeral Head, Percutaneous Approach",Age-related osteoporosis without current pathological fracture
55,Aimbo,81,Beam Radiation of Maxilla using Photons >10 MeV,"Corrosion with resulting rupture and destruction of left eyeball, initial encounter"
56,Jaxspan,58,"Dilation of Splenic Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Unspecified adhesions of iris, left eye"
57,Gabspot,54,"Excision of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach","Infection and inflammatory reaction due to cystostomy catheter, sequela"
58,Skibox,87,"Dilation of Right Renal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Monteggia's fracture of left ulna, sequela"
59,Janyx,56,"Chiropractic Manipulation of Rib Cage, Mechanically Assisted","Supervision of other high risk pregnancies, first trimester"
60,Yadel,40,"Insertion of Infusion Pump into Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach","Unspecified injury of radial artery at wrist and hand level of unspecified arm, sequela"
61,Jabberstorm,58,"Drainage of Lumbar Vertebral Joint, Open Approach, Diagnostic","Salter-Harris Type I physeal fracture of lower end of unspecified fibula, subsequent encounter for fracture with nonunion"
62,Roodel,35,"Supplement Left Thorax Tendon with Synthetic Substitute, Open Approach",Corrosions involving 40-49% of body surface with 10-19% third degree corrosion
63,Yakidoo,97,"Bypass Left Common Iliac Artery to Right External Iliac Artery with Autologous Arterial Tissue, Open Approach","Sprain of unspecified parts of right shoulder girdle, sequela"
64,Twitterworks,17,"Excision of Left Main Bronchus, Percutaneous Endoscopic Approach, Diagnostic","Poisoning by antimycobacterial drugs, assault, subsequent encounter"
65,Oodoo,26,"Excision of Right External Iliac Artery, Open Approach, Diagnostic","Puncture wound without foreign body of right great toe without damage to nail, sequela"
66,Livepath,16,"Drainage of Left Basilic Vein, Percutaneous Endoscopic Approach, Diagnostic",Epiphora due to insufficient drainage
67,Livefish,87,"Supplement Larynx with Synthetic Substitute, Via Natural or Artificial Opening","Traumatic rupture of collateral ligament of left index finger at metacarpophalangeal and interphalangeal joint, initial encounter"
68,Jamia,80,"Dilation of Hepatic Artery with Two Drug-eluting Intraluminal Devices, Open Approach","Displaced transverse fracture of shaft of left fibula, initial encounter for closed fracture"
69,Linklinks,69,"Dilation of Left Popliteal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","Laceration of muscle, fascia and tendon of long head of biceps, right arm, subsequent encounter"
70,Voomm,64,Magnetic Resonance Imaging (MRI) of Bilateral Jugular Veins,"Burn of unspecified degree of left toe(s) (nail), subsequent encounter"
71,Zoonoodle,63,"Reposition Right Ulna, Percutaneous Approach","Displaced midcervical fracture of left femur, subsequent encounter for closed fracture with malunion"
72,Flashset,82,"Excision of Pons, Percutaneous Endoscopic Approach",Unsatisfactory restoration of tooth
73,Thoughtstorm,8,"Revision of Autologous Tissue Substitute in Lumbar Vertebral Disc, Percutaneous Approach","Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
74,Tagtune,52,"Drainage of Right Epididymis with Drainage Device, Open Approach","Laceration of other specified muscles, fascia and tendons at wrist and hand level, unspecified hand"
75,Babblestorm,53,"Release Bladder Neck, Via Natural or Artificial Opening Endoscopic","Struck by falling object on other unpowered watercraft, initial encounter"
76,Meeveo,66,"Excision of Right Upper Leg Tendon, Percutaneous Approach",Gas pain
77,Tanoodle,41,"Revision of Stimulator Lead in Lower Muscle, Percutaneous Endoscopic Approach","Displaced transverse fracture of shaft of right tibia, subsequent encounter for closed fracture with routine healing"
78,Minyx,3,"Excision of Right Ankle Region, Percutaneous Endoscopic Approach, Diagnostic",Excessive keratinized residual ridge mucosa
79,Tekfly,46,"Supplement Right Fallopian Tube with Synthetic Substitute, Open Approach",Burns involving 30-39% of body surface with 30-39% third degree burns
80,Avavee,40,"Bypass Abdominal Aorta to Right Common Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",Malignant neoplasm of overlapping sites of right eye and adnexa
81,Edgewire,69,"Male Reproductive System, Reposition","Other specified injury of peroneal artery, unspecified leg, subsequent encounter"
82,LiveZ,51,"Introduction of Other Anti-infective into Biliary and Pancreatic Tract, Via Natural or Artificial Opening","Complete traumatic amputation of right forearm, level unspecified, subsequent encounter"
83,Yoveo,78,"Bypass Descending Colon to Rectum with Synthetic Substitute, Open Approach","Nondisplaced fracture of medial condyle of unspecified tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC"
84,Flipopia,47,"Revision of Infusion Device in Face, Percutaneous Endoscopic Approach","Other fracture of unspecified femur, subsequent encounter for closed fracture with nonunion"
85,Lazzy,92,"Revision of Nonautologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Open Approach","2-part nondisplaced fracture of surgical neck of left humerus, sequela"
86,Centimia,31,"Repair Left Upper Extremity Lymphatic, Open Approach","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with delayed healing"
87,Photobug,16,"Alteration of Right Ankle Region with Synthetic Substitute, Percutaneous Endoscopic Approach","Nondisplaced fracture of body of right calcaneus, subsequent encounter for fracture with routine healing"
88,Realcube,3,"Dilation of Left Popliteal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",Non-pressure chronic ulcer of buttock with necrosis of bone
89,Devify,38,"Occlusion of Sigmoid Colon, Via Natural or Artificial Opening","Unspecified subluxation of left middle finger, initial encounter"
90,Flashpoint,11,"Occlusion of Right Temporal Artery with Extraluminal Device, Open Approach","Macula scars of posterior pole (postinflammatory) (post-traumatic), unspecified eye"
91,Photobug,34,Hyperthermia of Face Skin,Greenstick fracture of shaft of radius
92,Quimba,42,"Excision of Transverse Colon, Open Approach, Diagnostic","Unspecified sprain of right foot, subsequent encounter"
93,Vidoo,80,"Dilation of Left Vertebral Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Glaucoma secondary to eye trauma, unspecified eye, mild stage"
94,Eadel,8,"Replacement of Left Lower Leg Skin with Synthetic Substitute, External Approach","Congenital absence of upper arm and forearm with hand present, bilateral"
95,Feedfire,60,"Extirpation of Matter from Right Pelvic Bone, Percutaneous Endoscopic Approach","Pathological fracture, unspecified finger(s), initial encounter for fracture"
96,Twitterworks,64,"Dilation of Left Pulmonary Artery with Intraluminal Device, Percutaneous Endoscopic Approach","Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in traffic accident, initial encounter"
97,Yata,94,"Revision of Infusion Device in Right Lung, Via Natural or Artificial Opening","Nondisplaced segmental fracture of shaft of unspecified fibula, initial encounter for closed fracture"
98,Jaxspan,65,"Dilation of Celiac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Unspecified physeal fracture of upper end of right fibula, sequela"
99,Flipbug,67,"Repair Ulnar Nerve, Percutaneous Approach","Corneal deposits in metabolic disorders, left eye"
100,Gigaclub,53,"Revision of Infusion Pump in Trunk Subcutaneous Tissue and Fascia, Open Approach",Centrilobular emphysema
101,Thoughtbridge,81,"Occlusion of Cecum with Extraluminal Device, Percutaneous Endoscopic Approach","Food in esophagus causing compression of trachea, initial encounter"
102,Skivee,30,Osteopathic Treatment of Abdomen using Articulatory-Raising Forces,"Adverse effect of antimycobacterial drugs, sequela"
